table_name,column_name,replaced_with,referenced_table,referenced_column,lookup_column
contract_vo_status,contract_type,master_contract_type_id,master_contract_type,id,contract_type
contract_vo_status,contractor_name,master_contractor_id,master_contractor,id,contractor
contract_vo_status,consultant_name,master_consultant_id,master_consultant,id,consultant
key_risks,rating,master_rating_id,master_rating,id,rating
key_risks,risk_category,master_risk_category_id,master_risk_category,id,risk_category
key_risks,risk_discipline,master_risk_discipline_id,master_risk_discipline,id,risk_discipline
key_risks,risk_owner,master_risk_owner_id,master_risk_owner,id,risk_owner
project_management,stage_status,master_project_stage_status_id,master_project_stage_status,id,project_stage_status
project_management,sub_stage,master_project_sub_stage_id,master_project_sub_stage,id,project_sub_stage
project_status,stage_status,master_project_stage_status_id,master_project_stage_status,id,project_stage_status
project_status,sub_stage,master_project_sub_stage_id,master_project_sub_stage,id,project_sub_stage
project_status,consultant,master_consultant_id,master_consultant,id,consultant
project_status,contractor,master_contractor_id,master_contractor,id,contractor
project_status,pmc_consultant,master_pmc_consultant_id,master_pmc_consultant,id,pmc_consultant
project_status,supervision_consultant,master_supervision_consultant_id,master_pmc_consultant,id,pmc_consultant
project_status,project_phase_category,master_project_phase_category_id,master_project_phase_category,id,project_phase_category
project_summary,project_classification,master_project_classification_id,master_project_classification,id,project_classification
project_summary,portfolio_manager,master_portfolio_manager_id,master_portfolio_manager,id,portfolio_manager
project_summary,controls_manager,master_control_manager_id,master_control_manager,id,control_manager
project_summary,entity_category,master_entity_category_id,master_entity_category,id,entity_category
project_summary,project_pricing_type,master_pricing_type_id,master_pricing_type,id,pricing_type
project_summary,director,master_director_id,master_director,id,director
key_achievements,stage_status,master_project_stage_status_id,master_project_stage_status,id,project_stage_status
key_achievements,sub_stage,master_project_sub_stage_id,master_project_sub_stage,id,project_sub_stage
project_milestone,milestone_number,master_milestone_number_id,master_milestone_number,id,milestone_number
key_risks,stage_status,master_project_stage_status_id,master_project_stage_status,id,project_stage_status
key_risks,sub_stage,master_project_sub_stage_id,master_project_sub_stage,id,project_sub_stage
project_status,procurement_manager,master_procurement_manager_id,master_procurement_manager,id,procurement_manager
lookup_project_to_project_phase_category,project_phase_category,master_project_phase_category_id,master_project_phase_category,id,project_phase_category
lookup_project_to_phase,category,master_project_phase_category_id,master_project_phase_category,id,project_phase_category
key_risks,period-project_name-phase,lookup_project_to_phase_id,lookup_project_to_phase,id,period-project_name-phase
authority_approvals_tracking,period-project_name-phase,lookup_project_to_phase_id,lookup_project_to_phase,id,period-project_name-phase
key_achievements,period-project_name-phase,lookup_project_to_phase_id,lookup_project_to_phase,id,period-project_name-phase
project_milestone,period-project_name-phase,lookup_project_to_phase_id,lookup_project_to_phase,id,period-project_name-phase
key_risks,risk_probability,master_risk_probability_id,master_rating,id,rating