source_table,source_id_column,source_multi_column,lookup_table,lookup_name_column,lookup_id_column,associative_table,assoc_source_column,assoc_lookup_column
project_status,id,design_manager,master_design_manager,design_manager,id,mapping_project_status_master_design_manager,project_status_id,master_design_manager_id
project_status,id,delivery_project_manager,master_delivery_project_manager,delivery_project_manager,id,mapping_project_status_master_delivery_project_manager,project_status_id,master_delivery_project_manager_id
project_summary,id,design_manager,master_design_manager,design_manager,id,mapping_project_summary_master_design_manager,project_summary_id,master_design_manager_id
project_summary,id,location,master_location,location,id,mapping_project_summary_master_location,project_summary_id,master_location_id
project_summary,id,sub_location,master_sub_location,sub_location,id,mapping_project_summary_master_sub_location,project_summary_id,master_sub_location_id
project_summary,id,executive_director,master_executive_director,executive_director,id,mapping_project_summary_master_executive_director,project_summary_id,master_executive_director_id
project_summary,id,design_project_manager,master_design_project_manager,design_project_manager,id,mapping_project_summary_master_design_project_manager,project_summary_id,master_design_project_manager_id
project_summary,id,delivery_project_manager,master_delivery_project_manager,delivery_project_manager,id,mapping_project_summary_master_delivery_project_manager,project_summary_id,master_delivery_project_manager_id
project_summary,id,next_steps_to_advance_progress,master_next_steps_to_advance_progress,next_steps_to_advance_progress,id,mapping_project_summary_master_next_steps_to_advance_progress,project_summary_id,master_next_steps_to_advance_progress_id
project_summary,id,non_recoverable_delay_justification,master_non_recoverable_delay_justification,non_recoverable_delay_justification,id,mapping_project_summary_master_non_recoverable_delay_justification,project_summary_id,master_non_recoverable_delay_justification_id
project_summary,id,mitigation_recovery_plan,master_mitigation_recovery_plan,mitigation_recovery_plan,id,mapping_project_summary_master_mitigation_recovery_plan,project_summary_id,master_mitigation_recovery_plan_id
project_summary,id,other_reason_for_delay,master_reason_for_delay,reason_for_delay,id,mapping_project_summary_master_reason_for_delay,project_summary_id,master_other_reason_for_delay