table_name,column_name
contract_vo_status,contract_type
contract_vo_status,contractor_name
key_risk,rating
key_risk,risk_category
key_risk,risk_discipline
key_risk,risk_owner
project_kpi,kpi
project_management,stage_status
project_management,sub_stage
project_status,stage_status
project_status,sub_stage
project_status,consultant
project_status,contractor
project_status,pmc_consultant
project_status,supervision_consultant
project_status,project_phase_category
project_summary,project_classification
project_summary,portfolio_manager
project_summary,controls_manager
project_summary,entity_category
project_summary,project_pricing_type
project_summary,procurement_manager
project_summary,director
project_summary,reason_for_delay
project_status,design_manager
project_status,delivery_project_manager
project_summary,location
project_summary,sub_location
project_summary,executive_director
project_summary,design_project_manager
project_summary,delivery_project_manager
project_summary,next_steps_to_advance_progress
project_summary,non_recoverable_delay_justification
project_summary,mitigation_recovery_plan
project_summary,other_reason_for_delay