table_name,column_name,old_data_type,new_data_type
authority_approvals_tracking,design_enoc_forecast_date,varchar,date
authority_approvals_tracking,tpd_forecast_date,varchar,date
authority_approvals_tracking,enoc_forecast_date,varchar,date
authority_approvals_tracking,last_updated,varchar,datetime
commercial_status,period,varchar,date
commercial_status,budget,varchar,float
commercial_status,committed_cost,varchar,float
commercial_status,vowd,varchar,float
commercial_status,paid_amount,varchar,float
commercial_status,last_updated,varchar,datetime
commercial_status,forecast_at_completion,varchar,int
commercial_status,year_planned_vowd,varchar,float
commercial_status,year_forecast_vowd,varchar,float
community_facility_brief,period,varchar,date
community_facility_brief,infra_finish_date,varchar,date
community_facility_brief,last_updated,varchar,datetime
contract_vo_status,period,varchar,date
contract_vo_status,last_updated,varchar,datetime
key_achievements,end_date,varchar,date
key_achievements,last_updated,varchar,datetime
key_risks,period,varchar,date
key_risks,forecasted_closure_date,varchar,date
key_risks,last_updated,varchar,datetime
master_consultant,icv_percentage,varchar,float
master_contractor,icv_percentage,varchar,float
master_contractor,worker_welfare_compliance_percentage,varchar,float
master_pmc_consultant,icv_percentage,varchar,float
project_kpi,period,varchar,date
project_kpi,kpi_value,varchar,float
project_kpi,last_updated,varchar,datetime
project_kpi,is_executive_kpi,varchar,bit
project_management,time_elapsed_percentage,varchar,float
project_management,spi,varchar,float
project_management,project_management_var,varchar,int
project_management,forecast_completion_last_period,varchar,int
project_management,delay_this_period,varchar,int
project_management,cumulative_delay,varchar,int
project_management,manpower_planned,varchar,int
project_management,manpower_actual,varchar,int
project_management,man_hours,varchar,int
project_management,incidents,varchar,int
project_management,fatalities,varchar,int
project_management,lti_ratio,varchar,int
project_management,last_updated,varchar,datetime
project_management,cost_per_sqm,varchar,bit
project_milestone,period,nvarchar,date
project_milestone,milestone_date,varchar,date
project_milestone,baseline_end_date,varchar,date
project_milestone,forecasted_end_date,varchar,date
project_milestone,milestone_sorting_order,varchar,int
project_milestone,last_updated,varchar,datetime
project_milestone,revised_spa_date,varchar,date
project_milestone,delay_damage_per_diem,varchar,int
project_milestone,eot,varchar,date
project_milestone,revised_spa_communication,varchar,date
project_milestone,actual_forecast_milestone_completion,varchar,date
project_milestone,contract_date,varchar,date
project_milestone,actual_forecast_milestone_collection,varchar,date
project_status,period,varchar,date
project_status,design_stage_weightage,varchar,float
project_status,phase_weightage,varchar,float
project_status,baseline_plan_finish,varchar,date
project_status,revised_baseline_finish,varchar,date
project_status,forecast_finish,varchar,date
project_status,rev_plan_percentage,varchar,float
project_status,actual_percentage,varchar,float
project_status,revised_plan_percentage,varchar,float
project_status,actual_plan_percentage,varchar,float
project_status,contract_start_date,varchar,date
project_status,contract_end_date,varchar,date
project_status,decree_end_date,varchar,date
project_status,plan_end_date,varchar,date
project_status,revised_plan_end_date,varchar,date
project_status,forecasted_end_date,varchar,date
project_status,spa_date,varchar,date
project_status,procurement_start_date,varchar,date
project_status,project_status_sorting_order,varchar,int
project_status,eot_to_contractor,varchar,date
project_status,last_updated,varchar,datetime
project_status,key_highlights_last_updated,varchar,datetime
project_status,kickoff_meeting_date,varchar,date
project_status_weightage,period,varchar,date
project_status_weightage,initiation,varchar,float
project_status_weightage,ldc_procurement,varchar,float
project_status_weightage,design,varchar,float
project_status_weightage,contractor_procurement,varchar,float
project_status_weightage,construction,varchar,float
project_status_weightage,handover,varchar,float
project_status_weightage,overall,varchar,float
project_status_weightage,last_updated,varchar,datetime
project_summary,decree_date,varchar,date
project_summary,planned_finish_percentage,varchar,float
project_summary,period,varchar,date
project_summary,actual_finish_percentage,varchar,float
project_summary,incidents,varchar,int
project_summary,latitude,varchar,float
project_summary,longitude,varchar,float
project_summary,overall_planned_finish_date,varchar,date
project_summary,overall_forecasted_finish_date,varchar,date
project_summary,is_executive_project,bigint,bit
project_summary,decree_end_date,varchar,date
project_summary,project_sorting_order,varchar,int
project_summary,commencement_date,varchar,date
project_summary,decree_number,varchar,float
project_summary,health_safety_last_updated,varchar,datetime
project_summary,project_management_last_updated,varchar,datetime
project_summary,planned_manpower,varchar,int
project_summary,actual_manpower,varchar,int
project_summary,budget_uplift_submission_date,varchar,date
project_summary,budget_uplift_approval_date,varchar,date
project_summary,eot_submission_date,varchar,date
project_summary,eot_approval_date,varchar,date
project_summary,tip_submission_date,varchar,date
project_summary,tip_approval_date,varchar,date
project_summary,budget_uplift_last_submission_date,varchar,date
project_summary,potential_budget_uplift_value,varchar,float
project_summary,scope_change_approval_date,varchar,date
project_summary,scope_change_submission_date,varchar,date
project_sustainability,period,varchar,date
project_sustainability,reinvented_economy_value,varchar,float
project_sustainability,pearl_rating_percentage,varchar,float
project_sustainability,recycled_material_percentage,varchar,float
project_sustainability,last_updated,varchar,datetime
news_feed,period,varchar,date
project_summary,bond_expiry_date,varchar,date
project_summary,eot_last_submission_date,varchar,date
project_summary,scope_change_last_submission_date,varchar,date
project_summary,tip_last_submission_date,varchar,date
master_contractor,evaluation_score,varchar,float
project_milestone,latest_communication_date,varchar,date
contract_vo_status,original_contract_value,varchar,float
contract_vo_status,revised_contract_value,varchar,float
contract_vo_status,forecasted_contract_value,varchar,float
community_facility_brief,updated_by,varchar,varchar
project_summary,submitted_eot_date,varchar,date
commercial_status,construction_budget,varchar,bigint
project_sustainability,waste_recycled_percentage,varchar,float
project_summary,lti,varchar,bigint
project_sustainability,reinvented_economy_percentage,varchar,float
project_sustainability,workers_welfare_compliance_percentage,varchar,float
commercial_status,design_budget,varchar,bigint
commercial_status,supervision_budget,varchar,bigint
commercial_status,contingency,varchar,bigint
commercial_status,management_fees,varchar,bigint
key_achievements,period,varchar,date
lookup_project_to_phase,period,nvarchar,date
potential_budget_uplift_scope,period,varchar,date
entity_key_achievements,period,varchar,date
media_path,period,varchar,date
key_achievements,start_date,nvarchar,date
project_summary,last_updated,varchar,datetime
project_summary,is_subject_to_rebaseline,varchar,bit